Subject_Code,Subject_Name,Group,Levels,Page,Notes
112755,Danish A: literature,Studies in language and literature,"SL,HL",language-and-literature/language-a-literature/,
112738,Dutch A: language and literature,Studies in language and literature,"SL,HL",language-and-literature/language-a-language-and-literature/,
112720,Dutch A: literature,Studies in language and literature,"SL,HL",language-and-literature/language-a-literature/,
112879,Dzongkha A: literature,Studies in language and literature,SL,language-and-literature/language-a-literature/,
112733,English A: language and literature,Studies in language and literature,"SL,HL",language-and-literature/language-a-language-and-literature/,
112711,English A: literature,Studies in language and literature,"SL,HL",language-and-literature/language-a-literature/,
112859,Estonian A: literature,Studies in language and literature,"SL,HL",language-and-literature/language-a-literature/,
116711,Filipino A: literature,Studies in language and literature,"SL,HL",language-and-literature/language-a-literature/,
112726,Finnish A: literature,Studies in language and literature,"SL,HL",language-and-literature/language-a-literature/,
112734,French A: language and literature,Studies in language and literature,"SL,HL",language-and-literature/language-a-language-and-literature/,
112750,French A: literature,Studies in language and literature,"SL,HL",language-and-literature/language-a-literature/,
112877,Georgian A: literature,Studies in language and literature,"SL,HL",language-and-literature/language-a-literature/,
112735,German A: language and literature,Studies in language and literature,"SL,HL",language-and-literature/language-a-language-and-literature/,
112751,German A: literature,Studies in language and literature,"SL,HL",language-and-literature/language-a-literature/,
175712,Guarani A: literature,Studies in language and literature,SL,language-and-literature/language-a-literature/,
112722,Hebrew A: literature,Studies in language and literature,"SL,HL",language-and-literature/language-a-literature/,
112747,Hindi A: literature,Studies in language and literature,"SL,HL",language-and-literature/language-a-literature/,
112748,Hungarian A: literature,Studies in language and literature,"SL,HL",language-and-literature/language-a-literature/,
112883,Icelandic A: literature,Studies in language and literature,"SL,HL",language-and-literature/language-a-literature/,
125711,Indonesian A: language and literature,Studies in language and literature,"SL,HL",language-and-literature/language-a-language-and-literature/,
112749,Indonesian A: literature,Studies in language and literature,"SL,HL",language-and-literature/language-a-literature/,
112838,Italian A: language and literature,Studies in language and literature,"SL,HL",language-and-literature/language-a-language-and-literature/,
112753,Italian A: literature,Studies in language and literature,"SL,HL",language-and-literature/language-a-literature/,
128711,Japanese A: language and literature,Studies in language and literature,"SL,HL",language-and-literature/language-a-language-and-literature/,
112743,Japanese A: literature,Studies in language and literature,"SL,HL",language-and-literature/language-a-literature/,
112804,Kazakh A: literature,Studies in language and literature,SL,language-and-literature/language-a-literature/,
112896,Khmer A: literature,Studies in language and literature,"SL,HL",language-and-literature/language-a-literature/,
115711,Kinyarwanda A: literature,Studies in language and literature,SL,language-and-literature/language-a-literature/,
178713,Kiswahili A: literature,Studies in language and literature,"SL,HL",language-and-literature/language-a-literature/,
115715,Korean A: language and literature,Studies in language and literature,"SL,HL",language-and-literature/language-a-language-and-literature/,
112744,Korean A: literature,Studies in language and literature,"SL,HL",language-and-literature/language-a-literature/,
112881,Lao A: literature,Studies in language and literature,"SL,HL",language-and-literature/language-a-literature/,
112723,Latvian A: literature,Studies in language and literature,"SL,HL",language-and-literature/language-a-literature/,
112845,Literature and Performance,Studies in language and literature,SL,language-and-literature/literature-and-performance/,
112765,Lithuanian A: literature,Studies in language and literature,"SL,HL",language-and-literature/language-a-literature/,
112841,Luganda A: literature,Studies in language and literature,SL,language-and-literature/language-a-literature/,
112712,Macedonian A: literature,Studies in language and literature,"SL,HL",language-and-literature/language-a-literature/,
155711,Malagasy A: literature,Studies in language and literature,SL,language-and-literature/language-a-literature/,
112745,Malay A: literature,Studies in language and literature,"SL,HL",language-and-literature/language-a-literature/,
112867,Malayalam A: literature,Studies in language and literature,SL,language-and-literature/language-a-literature/,
112732,Modern Greek A: language and literature,Studies in language and literature,"SL,HL",language-and-literature/language-a-language-and-literature/,
112727,Modern Greek A: literature,Studies in language and literature,"SL,HL",language-and-literature/language-a-literature/,
112882,Mongolian A: literature,Studies in language and literature,"SL,HL",language-and-literature/language-a-literature/,
112819,Ndebele A: literature,Studies in language and literature,SL,language-and-literature/language-a-literature/,
112763,Nepali A: literature,Studies in language and literature,"SL,HL",language-and-literature/language-a-literature/,
112840,Norwegian A: language and literature,Studies in language and literature,"SL,HL",language-and-literature/language-a-language-and-literature/,
112756,Norwegian A: literature,Studies in language and literature,"SL,HL",language-and-literature/language-a-literature/,
112746,Persian A: literature,Studies in language and literature,"SL,HL",language-and-literature/language-a-literature/,
112717,Polish A: literature,Studies in language and literature,"SL,HL",language-and-literature/language-a-literature/,
112730,Portuguese A: language and literature,Studies in language and literature,"SL,HL",language-and-literature/language-a-language-and-literature/,
112718,Portuguese A: literature,Studies in language and literature,"SL,HL",language-and-literature/language-a-literature/,
112801,Punjabi A: literature,Studies in language and literature,SL,language-and-literature/language-a-literature/,
112886,Romanian A: literature,Studies in language and literature,"SL,HL",language-and-literature/language-a-literature/,
112839,Russian A: language and literature,Studies in language and literature,"SL,HL",language-and-literature/language-a-language-and-literature/,
112754,Russian A: literature,Studies in language and literature,"SL,HL",language-and-literature/language-a-literature/,
112759,Serbian A: literature,Studies in language and literature,"SL,HL",language-and-literature/language-a-literature/,
112762,Sesotho A: literature,Studies in language and literature,"SL,HL",language-and-literature/language-a-literature/,
112832,Shona A: literature,Studies in language and literature,SL,language-and-literature/language-a-literature/,
177711,Sinhala A: literature,Studies in language and literature,SL,language-and-literature/language-a-literature/,
112880,Siswati A: literature,Studies in language and literature,"SL,HL",language-and-literature/language-a-literature/,
112760,Slovak A: literature,Studies in language and literature,"SL,HL",language-and-literature/language-a-literature/,
112741,Slovene A: literature,Studies in language and literature,"SL,HL",language-and-literature/language-a-literature/,
112800,Somali A: literature,Studies in language and literature,SL,language-and-literature/language-a-literature/,
112736,Spanish A: language and literature,Studies in language and literature,"SL,HL",language-and-literature/language-a-language-and-literature/,
112752,Spanish A: literature,Studies in language and literature,"SL,HL",language-and-literature/language-a-literature/,
112737,Swedish A: language and literature,Studies in language and literature,"SL,HL",language-and-literature/language-a-language-and-literature/,
112757,Swedish A: literature,Studies in language and literature,"SL,HL",language-and-literature/language-a-literature/,
112878,Tajik A: literature,Studies in language and literature,SL,language-and-literature/language-a-literature/,
112810,Tamil A: literature,Studies in language and literature,SL,language-and-literature/language-a-literature/,
112901,Telugu A: literature,Studies in language and literature,SL,language-and-literature/language-a-literature/,
112731,Thai A: language and literature,Studies in language and literature,"SL,HL",language-and-literature/language-a-language-and-literature/,
112713,Thai A: literature,Studies in language and literature,"SL,HL",language-and-literature/language-a-literature/,
112835,Tibetan A: literature,Studies in language and literature,SL,language-and-literature/language-a-literature/,
112714,Turkish A: literature,Studies in language and literature,"SL,HL",language-and-literature/language-a-literature/,
112802,Ukrainian A: literature,Studies in language and literature,"SL,HL",language-and-literature/language-a-literature/,
112885,Urdu A: literature,Studies in language and literature,"SL,HL",language-and-literature/language-a-literature/,
180711,Uyghur A: literature,Studies in language and literature,SL,language-and-literature/language-a-literature/,
174711,Vietnamese A: language and literature,Studies in language and literature,"SL,HL",language-and-literature/language-a-language-and-literature/,
112884,Vietnamese A: literature,Studies in language and literature,"SL,HL",language-and-literature/language-a-literature/,
112715,Welsh A: literature,Studies in language and literature,SL,language-and-literature/language-a-literature/,
100140,Dance,The arts,"SL,HL",the-arts/dance/,
100200,Film,The arts,"SL,HL",the-arts/film/,
182711,Literary arts,The arts,SL,other-dp-subjects-offered-by-the-ib/,"School-based syllabus, offered by authorized schools only"
100402,Music,The arts,"SL,HL",the-arts/music/,
100575,Theatre,The arts,"SL,HL",the-arts/theatre/,
100608,Visual arts,The arts,"SL,HL",the-arts/visual-arts/,
