Exam_Board,Qualification,Syllabus_Code,Subject_Name,Component,Component_Number,Component_Title,Marks,Route,Award,Weighting_Percent,Rule
CAIE,Cambridge International AS & A Level,8291,Environmental Management (AS only),Paper 2,2,Management in Context,80,,AS,50,
CAIE,Cambridge International AS & A Level,9696,Geography,Paper 1,1,Physical Geography,60,,A Level,25,
CAIE,Cambridge International AS & A Level,9696,Geography,Paper 1,1,Physical Geography,60,,AS,50,
CAIE,Cambridge International AS & A Level,9696,Geography,Paper 3,3,Global Environments,60,,A Level,25,
CAIE,Cambridge International AS & A Level,9696,Geography,Paper 2,2,Human Geography,60,,A Level,25,
CAIE,Cambridge International AS & A Level,9696,Geography,Paper 2,2,Human Geography,60,,AS,50,
CAIE,Cambridge International AS & A Level,9696,Geography,Paper 4,4,Global Themes,60,,A Level,25,
CAIE,Cambridge International AS & A Level,9239,Global Perspectives & Research,Component 1,1,Written Exam,45,,A Level,18,
CAIE,Cambridge International AS & A Level,9239,Global Perspectives & Research,Component 1,1,Written Exam,45,,AS,36,
CAIE,Cambridge International AS & A Level,9239,Global Perspectives & Research,Component 3,3,Team Project,40,,A Level,16,
CAIE,Cambridge International AS & A Level,9239,Global Perspectives & Research,Component 3,3,Team Project,40,,AS,32,
CAIE,Cambridge International AS & A Level,9239,Global Perspectives & Research,Component 2,2,Essay,40,,A Level,16,
CAIE,Cambridge International AS & A Level,9239,Global Perspectives & Research,Component 2,2,Essay,40,,AS,32,
CAIE,Cambridge International AS & A Level,9239,Global Perspectives & Research,Component 4,4,Cambridge Research Report,85,,A Level,50,
CAIE,Cambridge International AS & A Level,9487,Hinduism,Paper 1,1,Concepts in Hinduism,60,,A Level,25,
CAIE,Cambridge International AS & A Level,9487,Hinduism,Paper 1,1,Concepts in Hinduism,60,,AS,50,
CAIE,Cambridge International AS & A Level,9487,Hinduism,Paper 3,3,Hinduism: Philosophy and Religion,60,,A Level,25,
CAIE,Cambridge International AS & A Level,9487,Hinduism,Paper 2,2,Development of Hinduism,60,,A Level,25,
CAIE,Cambridge International AS & A Level,9487,Hinduism,Paper 2,2,Development of Hinduism,60,,AS,50,
CAIE,Cambridge International AS & A Level,9487,Hinduism,Paper 4,4,Hinduism in Contemporary Society,60,,A Level,25,
CAIE,Cambridge International AS & A Level,9626,Information Technology,Paper 1,1,Theory,70,,A Level,25,
CAIE,Cambridge International AS & A Level,9626,Information Technology,Paper 1,1,Theory,70,,AS,50,
CAIE,Cambridge International AS & A Level,9626,Information Technology,Paper 3,3,Advanced Theory,70,,A Level,25,
CAIE,Cambridge International AS & A Level,9626,Information Technology,Paper 2,2,Practical,90,,A Level,25,
CAIE,Cambridge International AS & A Level,9626,Information Technology,Paper 2,2,Practical,90,,AS,50,
CAIE,Cambridge International AS & A Level,9626,Information Technology,Paper 4,4,Advanced Practical,90,,A Level,25,
CAIE,Cambridge International AS & A Level,9488,Islamic Studies,Paper 1,1,Islamic beliefs and practices,50,,A Level,25,
CAIE,Cambridge International AS & A Level,9488,Islamic Studies,Paper 1,1,Islamic beliefs and practices,50,,AS,50,
CAIE,Cambridge International AS & A Level,9488,Islamic Studies,Paper 3,3,Heritage of Islam,50,,A Level,25,
CAIE,Cambridge International AS & A Level,9488,Islamic Studies,Paper 2,2,Islamic law (shariah) and its application,50,,A Level,25,
CAIE,Cambridge International AS & A Level,9488,Islamic Studies,Paper 2,2,Islamic law (shariah) and its application,50,,AS,50,
CAIE,Cambridge International AS & A Level,9488,Islamic Studies,Paper 4,4,Islam in the modern world,50,,A Level,25,
CAIE,Cambridge International AS & A Level,9084,Law,Paper 1,1,English Legal System,75,,A Level,25,
CAIE,Cambridge International AS & A Level,9084,Law,Paper 1,1,English Legal System,75,,AS,50,
CAIE,Cambridge International AS & A Level,9084,Law,Paper 3,3,Law of Contract,75,,A Level,25,
CAIE,Cambridge International AS & A Level,9084,Law,Paper 2,2,Criminal Law,60,,A Level,25,
CAIE,Cambridge International AS & A Level,9084,Law,Paper 2,2,Criminal Law,60,,AS,50,
CAIE,Cambridge International AS & A Level,9084,Law,Paper 4,4,Law of Tort,75,,A Level,25,
CAIE,Cambridge International AS & A Level,9693,Marine Science,Paper 1,1,AS Level Theory,75,,A Level,25,
CAIE,Cambridge International AS & A Level,9693,Marine Science,Paper 1,1,AS Level Theory,75,,AS,50,
CAIE,Cambridge International AS & A Level,9693,Marine Science,Paper 3,3,A Level Theory,75,,A Level,25,
CAIE,Cambridge International AS & A Level,9693,Marine Science,Paper 2,2,AS Level Data-handling,75,,A Level,25,
CAIE,Cambridge International AS & A Level,9693,Marine Science,Paper 2,2,AS Level Data-handling,75,,AS,50,
CAIE,Cambridge International AS & A Level,9693,Marine Science,Paper 4,4,A Level Data-handling,75,,A Level,25,
CAIE,Cambridge International AS & A Level,9709,Mathematics,Paper 1,1,Pure Mathematics 1,75,Pure Mathematics,A Level,30,Compulsory for AS Level and A Level
CAIE,Cambridge International AS & A Level,9709,Mathematics,Paper 1,1,Pure Mathematics 1,75,Pure Mathematics,AS,60,Compulsory for AS Level and A Level
CAIE,Cambridge International AS & A Level,9709,Mathematics,Paper 2,2,Pure Mathematics 2,50,Pure Mathematics,AS,40,Offered only as part of AS Level
CAIE,Cambridge International AS & A Level,9709,Mathematics,Paper 3,3,Pure Mathematics 3,75,Pure Mathematics,A Level,30,Compulsory for A Level
CAIE,Cambridge International AS & A Level,9709,Mathematics,Paper 4,4,Mechanics,50,Mechanics,A Level,20,Offered as part of AS Level and A Level
CAIE,Cambridge International AS & A Level,9709,Mathematics,Paper 4,4,Mechanics,50,Mechanics,AS,40,Offered as part of AS Level and A Level
CAIE,Cambridge International AS & A Level,9709,Mathematics,Paper 5,5,Probability & Statistics 1,50,Probability & Statistics,A Level,20,Compulsory for A Level
CAIE,Cambridge International AS & A Level,9709,Mathematics,Paper 5,5,Probability & Statistics 1,50,Probability & Statistics,AS,40,Compulsory for A Level
CAIE,Cambridge International AS & A Level,9709,Mathematics,Paper 6,6,Probability & Statistics 2,50,Probability & Statistics,A Level,20,Offered only as part of A Level
CAIE,Cambridge International AS & A Level,9231,Mathematics - Further,Paper 1,1,Further Pure Mathematics 1,75,,A Level,30,Compulsory for AS Level and A Level
CAIE,Cambridge International AS & A Level,9231,Mathematics - Further,Paper 1,1,Further Pure Mathematics 1,75,,AS,60,Compulsory for AS Level and A Level
CAIE,Cambridge International AS & A Level,9231,Mathematics - Further,Paper 3,3,Further Mechanics,50,,A Level,20,Offered as part of AS Level or A Level
CAIE,Cambridge International AS & A Level,9231,Mathematics - Further,Paper 3,3,Further Mechanics,50,,AS,40,Offered as part of AS Level or A Level
CAIE,Cambridge International AS & A Level,9231,Mathematics - Further,Paper 2,2,Further Pure Mathematics 2,75,,A Level,30,Compulsory for A Level
CAIE,Cambridge International AS & A Level,9231,Mathematics - Further,Paper 4,4,Further Probability &,50,,A Level,20,Offered as part of AS Level or A Level
CAIE,Cambridge International AS & A Level,9231,Mathematics - Further,Paper 4,4,Further Probability &,50,,AS,40,Offered as part of AS Level or A Level
CAIE,Cambridge International AS & A Level,9483,Music,Paper 1,1,Listening,100,,A Level,30,
CAIE,Cambridge International AS & A Level,9483,Music,Paper 1,1,Listening,100,,AS,60,
CAIE,Cambridge International AS & A Level,9483,Music,Component 3,3,Extended Performance,100,,A Level,25,
CAIE,Cambridge International AS & A Level,9483,Music,Component 2,2,Practical Music,100,,A Level,20,
CAIE,Cambridge International AS & A Level,9483,Music,Component 2,2,Practical Music,100,,AS,40,
CAIE,Cambridge International AS & A Level,9483,Music,Component 4,4,Extended Composition,100,,A Level,25,
CAIE,Cambridge International AS & A Level,9483,Music,Component 5,5,Investigating Music,100,,A Level,25,
CAIE,Cambridge International AS & A Level,9702,Physics,Paper 1,1,Multiple Choice,40,,A Level,15.5,
CAIE,Cambridge International AS & A Level,9702,Physics,Paper 1,1,Multiple Choice,40,,AS,31,
CAIE,Cambridge International AS & A Level,9702,Physics,Paper 4,4,A Level Structured Questions,100,,A Level,38.5,
CAIE,Cambridge International AS & A Level,9702,Physics,Paper 2,2,AS Level Structured Questions,60,,A Level,23,
CAIE,Cambridge International AS & A Level,9702,Physics,Paper 2,2,AS Level Structured Questions,60,,AS,46,
CAIE,Cambridge International AS & A Level,9702,Physics,Paper 5,5,"Planning, Analysis and Evaluation",30,,A Level,11.5,
CAIE,Cambridge International AS & A Level,9702,Physics,Paper 3,3,Advanced Practical Skills,40,,A Level,11.5,
CAIE,Cambridge International AS & A Level,9702,Physics,Paper 3,3,Advanced Practical Skills,40,,AS,23,
CAIE,Cambridge International AS & A Level,9990,Psychology,Paper 1,1,"Approaches, Issues and",60,,A Level,25,
CAIE,Cambridge International AS & A Level,9990,Psychology,Paper 1,1,"Approaches, Issues and",60,,AS,50,
CAIE,Cambridge International AS & A Level,9990,Psychology,Paper 3,3,"Specialist Options: Approaches,",60,,A Level,25,
CAIE,Cambridge International AS & A Level,9990,Psychology,Paper 2,2,Research Methods,60,,A Level,25,
CAIE,Cambridge International AS & A Level,9990,Psychology,Paper 2,2,Research Methods,60,,AS,50,
CAIE,Cambridge International AS & A Level,9990,Psychology,Paper 4,4,Specialist Options: Application,60,,A Level,25,
CAIE,Cambridge International AS & A Level,9699,Sociology,Paper 1,1,"Socialisation, Identity",60,,A Level,25,
CAIE,Cambridge International AS & A Level,9699,Sociology,Paper 1,1,"Socialisation, Identity",60,,AS,50,
CAIE,Cambridge International AS & A Level,9699,Sociology,Paper 3,3,Education,50,,A Level,21,
CAIE,Cambridge International AS & A Level,9699,Sociology,Paper 2,2,The Family,60,,A Level,25,
CAIE,Cambridge International AS & A Level,9699,Sociology,Paper 2,2,The Family,60,,AS,50,
CAIE,Cambridge International AS & A Level,9699,Sociology,Paper 4,4,"Globalisation, Media",70,,A Level,29,
CAIE,Cambridge International AS & A Level,9689,Tamil - 9689 (A Level only),Paper 2,2,Reading and Writing,75,,A Level,35,
CAIE,Cambridge International AS & A Level,9689,Tamil - 9689 (A Level only),Paper 4,4,Texts,75,,A Level,35,
CAIE,Cambridge International AS & A Level,9689,Tamil - 9689 (A Level only),Paper 3,3,Essay,40,,A Level,20,
CAIE,Cambridge International AS & A Level,9689,Tamil - 9689 (A Level only),Paper 5,5,Prose,40,,A Level,10,
CAIE,Cambridge International AS & A Level,9694,Thinking Skills,Paper 1,1,Problem Solving,50,,A Level,25,
CAIE,Cambridge International AS & A Level,9694,Thinking Skills,Paper 1,1,Problem Solving,50,,AS,50,
CAIE,Cambridge International AS & A Level,9694,Thinking Skills,Paper 3,3,Problem Analysis and Solution,50,,A Level,25,
CAIE,Cambridge International AS & A Level,9694,Thinking Skills,Paper 2,2,Critical Thinking,50,,A Level,25,
CAIE,Cambridge International AS & A Level,9694,Thinking Skills,Paper 2,2,Critical Thinking,50,,AS,50,
CAIE,Cambridge International AS & A Level,9694,Thinking Skills,Paper 4,4,Applied Reasoning,50,,A Level,25,
CAIE,Cambridge International AS & A Level,9395,Travel & Tourism,Paper 1,1,Themes and Concepts,75,,A Level,25,
CAIE,Cambridge International AS & A Level,9395,Travel & Tourism,Paper 1,1,Themes and Concepts,75,,AS,50,
CAIE,Cambridge International AS & A Level,9395,Travel & Tourism,Paper 3,3,Destination Marketing,50,,A Level,25,
CAIE,Cambridge International AS & A Level,9395,Travel & Tourism,Paper 2,2,Planning and Managing a Travel and Tourism,50,,A Level,25,
CAIE,Cambridge International AS & A Level,9395,Travel & Tourism,Paper 2,2,Planning and Managing a Travel and Tourism,50,,AS,50,
CAIE,Cambridge International AS & A Level,9395,Travel & Tourism,Paper 4,4,Destination Development and Management,50,,A Level,25,
CAIE,Cambridge International AS & A Level,8102,US History since 1877,Paper 1,1,Historical Sources,40,,AS,40,
CAIE,Cambridge International AS & A Level,8102,US History since 1877,Paper 2,2,Outline Study,60,,AS,60,
CAIE,Cambridge International AS & A Level,8101,US History to 1877,Paper 1,1,Historical Sources,40,,AS,40,
CAIE,Cambridge International AS & A Level,8101,US History to 1877,Paper 2,2,Outline Study,60,,AS,60,
